customer_id_masked,date_registered_masked,gender,adress_masked,email_masked,birthdate_masked,current_location,age_bracket,salary_bracket
CID_000001,44468,M,Street_000001,user_000001@masked.com,28560,"['78.937112', '71.260464']",46–55,40k - 60k
CID_000002,43694,F,ADDR_000002,user_000002@masked.com,25901,"['-24.1692185', '100.746122']",36–45,80k - 100k
CID_000003,43770,M,ADDR_000003,user_000003@masked.com,39926,"['8.019908', '-19.603269']",46–55,100k+
CID_000004,44561,F,ADDR_000004,user_000004@masked.com,33812,"['62.497506', '2.717198']",26–35,100k+
CID_000005,44052,F,ADDR_000005,user_000005@masked.com,32767,"['73.7924695', '-80.314720']",56–65,100k+
CID_000006,44559,M,ADDR_000006,user_000006@masked.com,13126,"['43.229788', '54.454713']",46–55,40k - 60k
CID_000007,43721,F,ADDR_000007,user_000007@masked.com,29739,"['-27.7805925', '10.773065']",56–65,100k+
CID_000008,44475,F,ADDR_000008,user_000008@masked.com,8710,"['-50.553672', '114.947839']",46–55,60k - 80k
CID_000009,44501,F,ADDR_000009,user_000009@masked.com,37059,"['-47.2706515', '-5.433348']",56–65,100k+
CID_000010,43922,F,ADDR_000010,user_000010@masked.com,11350,"['3.7511305', '130.887868']",18–25,80k - 100k
CID_000011,44429,M,ADDR_000011,user_000011@masked.com,3374,"['78.4831185', '-0.820174']",46–55,60k - 80k
CID_000012,44430,F,ADDR_000012,user_000012@masked.com,21926,"['18.9796615', '34.978919']",36–45,100k+
CID_000013,43664,M,ADDR_000013,user_000013@masked.com,35353,"['67.454802', '-89.664743']",56–65,60k - 80k
CID_000014,44013,M,ADDR_000014,user_000014@masked.com,36357,"['-37.5069785', '-113.107777']",26–35,80k - 100k
CID_000015,44690,M,ADDR_000015,user_000015@masked.com,10387,"['-81.814827', '-171.417053']",56–65,100k+
CID_000016,44733,F,ADDR_000016,user_000016@masked.com,10792,"['-24.925930', '-142.885150']",26–35,100k+
CID_000017,43701,F,ADDR_000017,user_000017@masked.com,34166,"['73.632736', '107.711584']",46–55,40k - 60k
CID_000018,44426,F,ADDR_000018,user_000018@masked.com,41649,"['53.859108', '-4.357020']",46–55,20k - 40k
CID_000019,43946,M,ADDR_000019,user_000019@masked.com,18465,"['13.4592535', '-2.480665']",36–45,100k+
CID_000020,43752,M,ADDR_000020,user_000020@masked.com,41743,"['-5.6704225', '39.974192']",36–45,100k+
CID_000021,44091,M,ADDR_000021,user_000021@masked.com,22724,"['58.4856465', '159.210674']",46–55,100k+
CID_000022,43884,F,ADDR_000022,user_000022@masked.com,32392,"['-16.335065', '122.866650']",36–45,20k - 40k
CID_000023,44586,M,ADDR_000023,user_000023@masked.com,17809,"['-33.3945515', '39.872755']",18–25,40k - 60k
CID_000024,43784,M,ADDR_000024,user_000024@masked.com,33946,"['10.720397', '67.590393']",36–45,100k+
CID_000025,44713,F,ADDR_000025,user_000025@masked.com,28717,"['-15.410874', '-154.585253']",46–55,100k+
CID_000026,44518,M,ADDR_000026,user_000026@masked.com,20659,"['26.2968495', '-47.562637']",18–25,100k+
CID_000027,44243,F,ADDR_000027,user_000027@masked.com,26803,"['-59.1622195', '67.879394']",36–45,100k+
CID_000028,44039,M,ADDR_000028,user_000028@masked.com,33895,"['-52.127987', '-131.156368']",18–25,60k - 80k
CID_000029,44050,M,ADDR_000029,user_000029@masked.com,12672,"['-32.770851', '133.658289']",56–65,40k - 60k
CID_000030,44398,M,ADDR_000030,user_000030@masked.com,11334,"['27.6796135', '-40.988177']",26–35,100k+
CID_000031,43995,F,ADDR_000031,user_000031@masked.com,35229,"['86.3435845', '0.177795']",46–55,100k+
CID_000032,44492,M,ADDR_000032,user_000032@masked.com,30109,"['58.3900285', '102.675952']",26–35,100k+
CID_000033,44348,F,ADDR_000033,user_000033@masked.com,26749,"['-5.069202', '94.989850']",26–35,40k - 60k
CID_000034,44463,M,ADDR_000034,user_000034@masked.com,19723,"['-32.922122', '-127.591151']",26–35,100k+
CID_000035,44043,M,ADDR_000035,user_000035@masked.com,15458,"['-30.612865', '125.011521']",18–25,40k - 60k
CID_000036,44610,F,ADDR_000036,user_000036@masked.com,38185,"['-22.748445', '-43.972861']",56–65,100k+
CID_000037,44092,F,ADDR_000037,user_000037@masked.com,22275,"['-40.063794', '-34.027521']",18–25,100k+
CID_000038,44323,M,ADDR_000038,user_000038@masked.com,19102,"['41.1486955', '-83.219928']",36–45,20k - 40k
CID_000039,44610,F,ADDR_000039,user_000039@masked.com,30997,"['-33.812731', '-156.372654']",46–55,20k - 40k
CID_000040,43755,M,ADDR_000040,user_000040@masked.com,35549,"['-9.782320', '-176.639822']",36–45,20k - 40k
CID_000041,44469,M,ADDR_000041,user_000041@masked.com,26383,"['-39.090906', '125.976372']",56–65,100k+
CID_000042,44104,M,ADDR_000042,user_000042@masked.com,31120,"['-15.754478', '167.887510']",56–65,100k+
CID_000043,43910,F,ADDR_000043,user_000043@masked.com,10804,"['-83.794104', '130.081608']",36–45,100k+
CID_000044,44652,M,ADDR_000044,user_000044@masked.com,10186,"['-70.229004', '-164.198640']",18–25,40k - 60k
CID_000045,44216,F,ADDR_000045,user_000045@masked.com,42674,"['16.390552', '-79.119555']",36–45,80k - 100k
CID_000046,44651,M,ADDR_000046,user_000046@masked.com,30604,"['-43.4544705', '-168.046879']",56–65,60k - 80k
CID_000047,43675,M,ADDR_000047,user_000047@masked.com,16020,"['-57.979225', '77.674956']",56–65,100k+
CID_000048,44442,M,ADDR_000048,user_000048@masked.com,26805,"['0.012332', '-136.063149']",46–55,20k - 40k
CID_000049,44592,M,ADDR_000049,user_000049@masked.com,15208,"['21.3245575', '146.217745']",46–55,40k - 60k
